date,ticker,name,open,high,low,close,volume,return
2017-04-11,KOSDAQ,KOSDAQ 종합지수,620.25,625.1799926757812,614.2100219726562,621.6400146484375,813400,0.003600267352146691
2017-04-12,KOSDAQ,KOSDAQ 종합지수,622.5399780273438,622.72998046875,619.27001953125,621.4500122070312,695600,-0.0003056470576684456
2017-04-13,KOSDAQ,KOSDAQ 종합지수,622.489990234375,624.1500244140625,622.3800048828125,623.8699951171875,742500,0.0038940910171709753
2017-04-14,KOSDAQ,KOSDAQ 종합지수,623.1400146484375,624.72998046875,617.719970703125,618.239990234375,699900,-0.009024323860542416
2017-04-17,KOSDAQ,KOSDAQ 종합지수,621.4500122070312,629.469970703125,621.4500122070312,629.469970703125,599200,0.01816443556893299
2017-04-18,KOSDAQ,KOSDAQ 종합지수,632.4000244140625,634.8200073242188,630.27001953125,634.72998046875,914100,0.008356252101668238
2017-04-19,KOSDAQ,KOSDAQ 종합지수,634.9299926757812,636.4199829101562,633.6400146484375,635.989990234375,814000,0.001985111471644263
2017-04-20,KOSDAQ,KOSDAQ 종합지수,636.8699951171875,637.489990234375,635.4400024414062,635.7999877929688,875200,-0.0002987506789787764
2017-04-21,KOSDAQ,KOSDAQ 종합지수,638.02001953125,638.02001953125,633.7000122070312,634.9600219726562,700900,-0.0013211164461142122
2017-04-24,KOSDAQ,KOSDAQ 종합지수,635.5800170898438,635.5800170898438,626.6199951171875,626.6199951171875,709200,-0.013134727489706233
2017-04-25,KOSDAQ,KOSDAQ 종합지수,629.2100219726562,632.5700073242188,629.2100219726562,632.5700073242188,820900,0.009495407509169107
2017-04-26,KOSDAQ,KOSDAQ 종합지수,635.0499877929688,635.3800048828125,634.2999877929688,635.1099853515625,753700,0.00401533110633534
2017-04-27,KOSDAQ,KOSDAQ 종합지수,636.239990234375,636.2899780273438,630.9199829101562,631.1099853515625,682500,-0.006298121730499706
2017-04-28,KOSDAQ,KOSDAQ 종합지수,632.8300170898438,632.8300170898438,627.280029296875,628.239990234375,755500,-0.004547535586192253
2017-05-02,KOSDAQ,KOSDAQ 종합지수,629.2100219726562,629.530029296875,626.4000244140625,626.4299926757812,596100,-0.0028810607199941662
2017-05-04,KOSDAQ,KOSDAQ 종합지수,628.0999755859375,635.1099853515625,628.0999755859375,635.1099853515625,509200,0.013856285262946688
2017-05-08,KOSDAQ,KOSDAQ 종합지수,638.3599853515625,643.3900146484375,638.0900268554688,643.3900146484375,550900,0.013037158110955627
2017-05-10,KOSDAQ,KOSDAQ 종합지수,645.7000122070312,645.7000122070312,641.5399780273438,642.6799926757812,768700,-0.0011035638671579306
2017-05-11,KOSDAQ,KOSDAQ 종합지수,644.4400024414062,647.5800170898438,643.3499755859375,647.5800170898438,731400,0.007624361221611142
2017-05-12,KOSDAQ,KOSDAQ 종합지수,648.5599975585938,648.5599975585938,642.9600219726562,643.72998046875,762400,-0.0059452677962414935
2017-05-15,KOSDAQ,KOSDAQ 종합지수,644.5900268554688,646.3099975585938,642.7899780273438,645.3800048828125,699800,0.002563224432798661
2017-05-16,KOSDAQ,KOSDAQ 종합지수,646.5,646.5,638.4299926757812,639.1099853515625,723800,-0.009715236734656019
2017-05-17,KOSDAQ,KOSDAQ 종합지수,640.8699951171875,641.47998046875,638.9299926757812,640.010009765625,624400,0.0014082465220246476
2017-05-18,KOSDAQ,KOSDAQ 종합지수,633.4000244140625,638.1599731445312,633.1400146484375,638.1199951171875,785400,-0.002953101700908789
2017-05-19,KOSDAQ,KOSDAQ 종합지수,640.3300170898438,643.0599975585938,639.1699829101562,642.4500122070312,726600,0.006785584408851797
2017-05-22,KOSDAQ,KOSDAQ 종합지수,645.0399780273438,645.1599731445312,641.5999755859375,642.6199951171875,753200,0.0002645854259886171
2017-05-23,KOSDAQ,KOSDAQ 종합지수,644.5900268554688,645.4400024414062,644.0,644.72998046875,800700,0.0032834106744183966
2017-05-24,KOSDAQ,KOSDAQ 종합지수,646.4400024414062,648.0499877929688,645.030029296875,646.0399780273438,844300,0.0020318545721129677
2017-05-25,KOSDAQ,KOSDAQ 종합지수,648.25,648.2899780273438,642.8699951171875,643.02001953125,766900,-0.004674569065083345
2017-05-26,KOSDAQ,KOSDAQ 종합지수,644.969970703125,646.4500122070312,644.2999877929688,646.010009765625,656900,0.004649917799689485
2017-05-29,KOSDAQ,KOSDAQ 종합지수,648.1500244140625,648.219970703125,642.75,642.97998046875,626600,-0.004690375150648629
2017-05-30,KOSDAQ,KOSDAQ 종합지수,645.0900268554688,649.0900268554688,644.3400268554688,649.0599975585938,599200,0.009455997503081237
2017-05-31,KOSDAQ,KOSDAQ 종합지수,650.510009765625,652.52001953125,649.510009765625,652.0399780273438,664000,0.00459122497143416
2017-06-01,KOSDAQ,KOSDAQ 종합지수,653.5700073242188,654.22998046875,651.0999755859375,653.8300170898438,670500,0.0027452903546121288
2017-06-02,KOSDAQ,KOSDAQ 종합지수,656.4299926757812,658.8200073242188,655.8200073242188,658.780029296875,638000,0.007570793750130145
2017-06-05,KOSDAQ,KOSDAQ 종합지수,660.77001953125,662.3699951171875,659.760009765625,662.3200073242188,583300,0.005373535732590362
